Discharge of water by farm type; discharge; region and time;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ; ;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
115 Freshwater aquaculture;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;661 Holstebro;..;2;1;1;1;1;1;2;1;1;3;1;0;1;1
 ; ;756 Ikast-Brande;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..
 ; ;665 Lemvig;..;73;44;50;18;73;57;25;27;26;26;28;14;10;17
 ; ;760 Ringkøbing-Skjern;..;10;9;8;3;6;8;7;8;8;9;9;10;10;15
 ; ;779 Skive;..;..;..;..;..;..;..;..;..;0;0;0;..;0;0
 ; ;671 Struer;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..
 ; ;791 Viborg;..;1;1;1;1;1;1;1;1;1;1;1;1;1;1
 ; ;081 Region Nordjylland;..;366;241;484;269;635;510;513;924;497;265;232;282;294;139
 ; ;810 Brønderslev;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;813 Frederikshavn;..;332;237;439;266;498;122;3;530;107;209;169;262;288;135
 ; ;860 Hjørring;..;..;1;..;0;1;1;1;1;1;..;..;..;..;..
 ; ;849 Jammerbugt;..;1;1;38;1;0;..;..;..;..;..;..;..;..;..
 ; ;825 Læsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;846 Mariagerfjord;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..
 ; ;773 Morsø;..;..;..;..;..;27;15;24;21;24;8;28;20;5;3
 ; ;840 Rebild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;787 Thisted;..;32;..;..;..;78;363;478;364;364;46;33;0;0;0
 ; ;820 Vesthimmerlands;..;..;..;..;..;1;..;..;..;..;..;..;..;0;..
 ; ;851 Aalborg;..;1;2;7;2;12;9;8;9;1;1;1;1;1;0
130 Wastewater treatment plants;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;706269;769131;718074;643849;696742;765740;696745;714169;614460;721022;682758;646059;604564;766338;810923
 ; ;084 Region Hovedstaden;191062;204663;181191;168633;191078;196209;183881;200379;163016;192674;176820;183551;169996;208332;208719
 ; ;101 Copenhagen;88053;91756;83154;78102;95420;92950;86810;95013;77914;90312;83895;86565;80784;94308;95282
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;1856;1281;1727;1156;2101;1924;1779;1930;1619;1794;2000;1791;1680;2241;2186
 ; ;185 Tårnby;5720;5878;4619;5108;5413;5267;4852;5640;4481;4969;4483;4703;4364;5680;5468
 ; ;165 Albertslund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;151 Ballerup;4152;5468;4012;3642;4200;3523;4103;4421;3734;4051;3916;4211;3581;4757;4391
 ; ;153 Brøndby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;157 Gentofte;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;159 Gladsaxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;161 Glostrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;163 Herlev;..;..;..;..;..;..;..;..;..;..;..;..;..;183;183
 ; ;167 Hvidovre;26358;28523;25989;22280;26400;25690;25009;27888;22480;25098;22936;23633;21922;27647;28488
 ; ;169 Høje-Taastrup;654;709;619;414;829;569;1331;689;708;813;742;722;688;891;1007
 ; ;183 Ishøj;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;173 Lyngby-Taarbæk;9110;11631;10031;9710;10456;11234;10097;10006;7836;10116;9309;9648;8816;10645;10226
 ; ;175 Rødovre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;187 Vallensbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;201 Allerød;1909;2832;2719;1860;1964;2805;2593;2682;2175;2790;2524;2579;2120;2736;2617
 ; ;240 Egedal;2877;3286;2361;2286;2118;2903;2737;2789;2380;3352;2515;2369;2256;3087;3365
 ; ;210 Fredensborg;2760;3317;2522;2604;2546;2902;2695;2934;2807;3083;2833;2926;2661;3448;3334
 ; ;250 Frederikssund;4191;4185;3710;3754;3352;4886;4154;4275;4083;4553;4434;4044;4120;5058;5745
 ; ;190 Furesø;1539;1774;1488;1251;1432;1700;1456;1537;1315;1553;1437;1452;1386;1647;1478
 ; ;270 Gribskov;7040;6757;5911;5482;5425;6339;5985;6177;4890;6476;5910;6582;6160;8464;8003
 ; ;260 Halsnæs;4305;4873;3790;3562;3290;3481;3615;3282;3386;3891;3636;3486;3301;4073;4632
 ; ;217 Helsingør;6219;6642;6555;6290;6107;7012;6126;7283;5547;6796;6390;6787;6062;8002;7206
 ; ;219 Hillerød;7638;8731;6740;6539;7291;8287;6999;7640;4753;7934;6736;7226;6610;8346;8495
 ; ;223 Hørsholm;4055;4015;4309;2777;3042;3522;3631;4060;3392;3951;3789;3870;3500;4452;4805
 ; ;230 Rudersdal;4449;4583;4126;4827;4046;4469;4150;4371;3082;4390;3845;3964;3952;5126;4528
 ; ;400 Bornholm;8177;8423;6806;6989;5648;6747;5758;7763;6432;6751;5479;6980;6020;7528;7269
 ; ;411 Christiansø;..;..;..;..;..;..;..;..;..;..;11;11;11;11;11
 ; ;085 Region Sjælland;112536;136807;110655;96684;95932;111564;106802;107504;94825;100191;92005;88495;84347;106370;118651
 ; ;253 Greve;6023;6583;4731;4763;5990;6036;5383;5790;4589;5528;4930;4783;4367;5544;6033
 ; ;259 Køge;8939;7954;6779;6626;7746;8061;8421;8381;6504;6723;6052;5779;5695;7290;7843
 ; ;350 Lejre;3183;3080;2460;2163;2569;3482;3345;3232;2693;2378;2338;2155;2037;2825;3196
 ; ;265 Roskilde;9828;10316;8863;7989;9338;9222;9240;9958;7978;8992;8546;8368;7835;9693;10575
 ; ;269 Solrød;2251;2140;1928;1754;2199;2449;2270;2222;1890;2167;2008;1798;1868;2237;2478
 ; ;320 Faxe;5721;6157;4755;4599;5097;6010;5768;5613;4947;5450;4888;4919;4466;5788;5894
 ; ;376 Guldborgsund;8508;9263;7409;10879;4981;7010;7351;8061;7572;7947;7186;6044;5697;6532;8113
 ; ;316 Holbæk;7345;7619;6659;6901;6517;7449;6894;7285;6940;6801;5967;5339;5895;7558;8318
 ; ;326 Kalundborg;9214;9969;8456;8456;8567;10344;9053;9049;8426;9484;9433;9425;8784;10436;11805
 ; ;360 Lolland;7842;10290;6636;7727;6073;8163;7095;8665;7261;6568;6025;6118;5941;7182;9233
 ; ;370 Næstved;11160;12407;10237;10364;10815;12317;11802;12029;10691;10735;9798;9663;8616;12107;12904
 ; ;306 Odsherred;3688;3122;3158;2878;3136;3851;3417;2572;2665;3387;3029;2799;2630;3901;4047
 ; ;329 Ringsted;6087;4445;3193;3535;3994;6125;5831;5571;4878;5595;5183;5230;5119;5830;6006
 ; ;330 Slagelse;9701;27568;23955;7669;8265;9294;8528;8287;7260;8156;7068;7048;6534;8426;9609
 ; ;340 Sorø;3142;3331;3152;2613;2981;3384;3614;2630;2841;3129;2727;2524;2458;3234;3342
 ; ;336 Stevns;3902;4568;2405;2253;2371;2908;2563;2281;2296;2145;2028;1902;1789;2428;2592
 ; ;390 Vordingborg;6001;7993;5877;5517;5291;5459;6226;5876;5395;5006;4798;4601;4612;5359;6663
 ; ;083 Region Syddanmark;183714;196571;190184;173646;182906;204919;173517;176120;155360;184675;181493;168186;154047;199335;228212
 ; ;420 Assens;5222;5738;5849;6440;5046;6799;5572;4949;4303;4651;4873;4900;4212;5220;5911
 ; ;430 Faaborg-Midtfyn;9270;10292;8316;9289;8339;11070;9098;8739;8111;8911;8199;8273;7235;9546;11409
 ; ;440 Kerteminde;2931;2954;2589;2162;3944;2226;2453;2229;2033;2407;2341;2544;2267;3198;3787
 ; ;482 Langeland;2170;2957;2350;2511;2384;3203;2604;2535;2166;1912;1899;1355;1546;..;3022
 ; ;410 Middelfart;6586;7161;7369;6925;6270;7097;5018;5598;4054;6459;5970;6079;5454;7546;8941
 ; ;480 Nordfyns;4463;5044;4419;3975;3866;4252;4552;3927;3971;4391;4386;4241;3824;5079;5893
 ; ;450 Nyborg;5654;6196;5246;4853;4675;6153;5082;4517;4932;5060;5149;4306;3870;4458;5977
 ; ;461 Odense;27862;30920;28239;27726;27563;28838;27252;24159;22614;25574;25061;25899;22888;29448;33443
 ; ;479 Svendborg;9061;9401;7902;8144;7234;10193;9326;9025;7966;9254;8457;7893;7896;12366;10416
 ; ;492 Ærø;1078;1240;968;1009;942;1344;1072;986;919;855;840;605;2;..;1183
 ; ;530 Billund;6705;7366;9350;6025;7626;5280;2625;5398;4801;6078;6717;5442;4895;6076;8256
 ; ;561 Esbjerg;17651;18765;19655;17112;19847;20399;16405;18008;15941;18693;19041;17556;15539;20224;23080
 ; ;563 Fanø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;607 Fredericia;9565;9330;8636;8340;10210;10439;9790;9695;8862;10581;10055;9251;8656;10826;11702
 ; ;510 Haderslev;10328;12358;12022;12121;11466;10204;8229;8293;7161;8731;10168;7933;7589;10087;12180
 ; ;621 Kolding;14072;13882;14761;11980;11282;13672;13049;12830;11738;15491;13387;12641;12280;15943;15827
 ; ;540 Sønderborg;11816;10855;10108;9553;9833;10715;8434;9294;7618;8652;8576;7370;6964;8662;9544
 ; ;550 Tønder;7484;7506;5454;4844;5599;7264;5200;6328;5104;6282;5847;5246;5110;6779;8081
 ; ;573 Varde;5170;5556;7206;5295;6495;11588;7070;7355;6314;7817;8296;7192;6549;8356;9131
 ; ;575 Vejen;4463;6128;6849;6010;6719;6656;6259;7184;5598;7348;7365;6864;6071;8012;9328
 ; ;630 Vejle;14852;15232;15201;12315;15283;18204;17027;16721;14539;17886;17398;16049;15168;19754;22003
 ; ;580 Aabenraa;7312;7692;7697;7019;8285;9321;7401;8352;6616;7643;7465;6549;6035;7754;9097
 ; ;082 Region Midtjylland;144572;138525;155730;134434;148071;166155;155209;149536;129058;156271;150929;136671;127873;169281;173117
 ; ;710 Favrskov;4977;4417;4962;4455;4495;4628;4667;4465;3817;4569;4112;3778;3521;4904;4802
 ; ;766 Hedensted;4304;4261;4484;3684;4088;7252;6566;5708;4883;5965;6095;5708;5198;6756;8425
 ; ;615 Horsens;12438;10886;10174;10883;10484;10966;11317;10594;9310;11135;10242;10047;9850;12878;12606
 ; ;707 Norddjurs;4490;4615;4494;4184;4736;5071;5206;4518;4442;4912;4930;4646;4399;6381;7190
 ; ;727 Odder;3027;2750;2684;2432;2359;2452;2219;2163;1776;2340;1989;2071;1875;2889;2620
 ; ;730 Randers;10348;10138;10105;9310;10054;10394;10919;10863;10219;11497;10066;9308;8550;11529;11922
 ; ;741 Samsø;1685;649;1106;847;831;1844;1399;352;335;386;362;342;328;487;547
 ; ;740 Silkeborg;7313;7326;8671;6704;7203;8194;8069;7807;6707;8027;8523;7346;6968;8673;8834
 ; ;746 Skanderborg;5277;5403;5571;3997;4344;6224;6058;5223;4715;6048;5192;5328;5009;7188;7114
 ; ;706 Syddjurs;3424;3368;3364;2933;3403;3902;3561;3496;2892;3496;2903;3141;2685;4153;4567
 ; ;751 Aarhus;35309;30052;34030;28722;32727;36326;36297;34348;28495;33884;30798;30411;27382;39037;38003
 ; ;657 Herning;11982;12714;15325;12641;15625;15931;13227;14184;11572;14793;15197;12473;12778;16115;15939
 ; ;661 Holstebro;6426;6270;8452;7625;8583;8463;7130;7182;6727;7937;8341;7315;6715;8062;8838
 ; ;756 Ikast-Brande;5818;5621;6579;5326;5494;7559;6188;6173;5089;6375;6478;5606;5313;6849;7058
 ; ;665 Lemvig;2783;2809;2576;2357;2489;2766;2147;2299;2255;2542;2554;2488;2210;2334;2303
 ; ;760 Ringkøbing-Skjern;5893;6959;9457;7645;8332;10275;8039;8192;7070;9325;9734;7923;7106;8963;8955
 ; ;779 Skive;6514;7263;8165;6831;8060;8172;8246;7426;6261;8254;8893;6464;6244;7870;8485
 ; ;671 Struer;2195;2255;2582;2214;2316;2670;2105;1979;1871;2374;2479;2167;1939;2284;2564
 ; ;791 Viborg;10370;10770;12953;11642;12447;13066;11850;12565;10625;12412;12041;10111;9804;11929;12344
 ; ;081 Region Nordjylland;74385;92565;80314;70451;78755;86892;77337;80630;72201;87210;81511;69156;68302;83020;82225
 ; ;810 Brønderslev;4530;5071;4846;4139;6031;5798;4846;5144;4190;5251;4652;3627;3614;4823;4730
 ; ;813 Frederikshavn;12282;12738;12210;10592;12998;13218;11449;12420;11648;14130;12027;10905;10306;12326;12659
 ; ;860 Hjørring;9115;11594;10713;9183;11077;11315;9830;10216;9192;11231;10845;8752;8252;10364;10301
 ; ;849 Jammerbugt;5799;5905;5750;4960;5591;6149;4730;5170;4799;6016;5900;4253;4234;5684;5885
 ; ;825 Læsø;316;321;371;264;353;367;280;311;360;285;317;303;255;466;366
 ; ;846 Mariagerfjord;4424;4306;4768;3876;2499;5372;5441;5438;4947;5473;5207;4845;4791;5664;6643
 ; ;773 Morsø;2673;3012;3198;3120;3001;3897;2593;2874;2014;2864;2778;2501;2380;2792;2926
 ; ;840 Rebild;751;922;812;850;752;955;841;600;625;663;681;536;618;703;663
 ; ;787 Thisted;6290;7815;8235;6554;7921;8749;6604;6991;6561;8306;8129;6427;5978;7415;7441
 ; ;820 Vesthimmerlands;2769;14446;2903;2710;2910;3953;3575;3616;3067;3845;3919;3230;3313;3644;3067
 ; ;851 Aalborg;25435;26434;26507;24203;25622;27119;27147;27851;24798;29147;27057;23777;24560;29140;27542
 ;KV Nitrogen, tonnes total N;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;3579;3916;3841;3652;3478;3708;3428;3482;3127;3654;3245;3327;2865;3830;3850
 ; ;084 Region Hovedstaden;845;1047;1181;1168;1003;1026;990;1161;883;1184;951;1115;943;1297;1180
 ; ;101 Copenhagen;372;491;669;693;544;494;546;574;454;651;512;603;512;718;631
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;8;9;6;6;6;7;6;7;7;8;6;6;5;9;11
 ; ;185 Tårnby;22;23;31;27;23;28;30;40;36;43;29;32;32;48;39
 ; ;165 Albertslund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;151 Ballerup;17;31;28;29;19;17;20;18;19;22;20;21;14;21;20
 ; ;153 Brøndby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;157 Gentofte;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;159 Gladsaxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;161 Glostrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;163 Herlev;..;..;..;..;..;..;..;..;..;..;..;..;..;1;1
 ; ;167 Hvidovre;104;145;136;119;130;174;102;148;102;135;113;154;109;175;155
 ; ;169 Høje-Taastrup;3;4;2;2;3;4;4;3;3;3;2;2;2;3;3
 ; ;183 Ishøj;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;173 Lyngby-Taarbæk;57;93;72;62;52;70;59;87;43;67;55;80;68;80;78
 ; ;175 Rødovre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;187 Vallensbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;201 Allerød;6;9;9;7;6;9;9;10;8;9;9;9;6;10;9
 ; ;240 Egedal;7;6;6;5;5;6;6;7;6;11;6;7;5;9;11
 ; ;210 Fredensborg;14;12;10;13;8;10;9;10;12;11;10;11;10;12;10
 ; ;250 Frederikssund;20;14;13;17;15;13;19;35;23;21;15;14;14;18;22
 ; ;190 Furesø;2;4;3;1;0;2;2;2;4;4;4;4;4;6;4
 ; ;270 Gribskov;37;36;33;32;29;27;26;31;30;33;34;29;28;26;24
 ; ;260 Halsnæs;27;27;27;26;19;21;19;17;15;22;18;17;16;22;25
 ; ;217 Helsingør;32;35;30;31;42;43;36;39;30;37;37;44;46;51;50
 ; ;219 Hillerød;47;34;33;37;45;43;45;67;41;38;26;19;17;19;24
 ; ;223 Hørsholm;15;19;24;15;16;18;17;22;16;25;18;18;15;21;19
 ; ;230 Rudersdal;22;29;27;26;24;19;19;22;11;17;14;18;16;20;18
 ; ;400 Bornholm;30;26;23;22;19;21;18;25;22;27;20;25;21;27;25
 ; ;411 Christiansø;..;..;..;..;..;..;..;..;..;..;1;1;1;1;1
 ; ;085 Region Sjælland;608;691;561;517;458;525;470;448;428;437;400;401;339;455;494
 ; ;253 Greve;36;28;15;17;20;31;22;24;21;27;22;24;16;31;44
 ; ;259 Køge;54;28;23;32;27;38;51;43;28;24;21;22;20;29;27
 ; ;350 Lejre;11;11;8;7;6;19;18;19;18;9;9;6;6;9;10
 ; ;265 Roskilde;31;40;30;40;30;26;29;28;30;43;31;34;27;33;35
 ; ;269 Solrød;6;7;5;7;6;6;5;7;6;8;7;6;5;5;13
 ; ;320 Faxe;28;28;28;18;16;22;20;18;17;19;16;18;15;22;19
 ; ;376 Guldborgsund;61;67;50;57;38;37;33;33;37;32;29;26;24;32;40
 ; ;316 Holbæk;33;33;30;31;26;33;26;25;28;32;24;23;22;34;38
 ; ;326 Kalundborg;72;63;65;64;64;67;60;53;50;56;60;59;62;62;61
 ; ;360 Lolland;67;94;72;67;71;62;32;40;35;32;31;22;18;28;32
 ; ;370 Næstved;53;73;50;53;43;50;46;43;42;37;32;33;22;50;43
 ; ;306 Odsherred;19;24;22;16;17;21;14;12;12;17;13;12;10;16;17
 ; ;329 Ringsted;21;15;12;12;8;16;16;18;17;19;23;23;22;24;19
 ; ;330 Slagelse;37;89;86;30;27;32;30;31;30;33;32;44;28;32;33
 ; ;340 Sorø;18;18;18;14;15;16;19;17;17;15;13;13;10;14;13
 ; ;336 Stevns;14;13;8;8;7;6;5;5;7;6;5;6;5;7;6
 ; ;390 Vordingborg;48;61;41;46;39;43;46;31;34;30;32;32;27;28;44
 ; ;083 Region Syddanmark;910;973;896;855;911;976;774;754;726;786;758;684;630;819;955
 ; ;420 Assens;17;23;19;29;28;24;19;14;14;15;14;12;11;13;16
 ; ;430 Faaborg-Midtfyn;44;44;29;34;51;32;29;32;32;34;33;25;22;26;37
 ; ;440 Kerteminde;5;7;6;7;9;7;6;8;8;8;10;7;8;11;15
 ; ;482 Langeland;12;17;10;13;27;19;13;13;14;12;12;6;8;..;16
 ; ;410 Middelfart;25;31;28;29;41;32;20;30;18;24;22;19;21;32;34
 ; ;480 Nordfyns;14;19;17;15;23;15;15;12;14;17;15;15;12;26;23
 ; ;450 Nyborg;27;34;21;22;29;35;32;31;30;37;31;33;26;27;35
 ; ;461 Odense;103;127;150;118;107;141;124;108;119;105;107;104;98;130;169
 ; ;479 Svendborg;35;45;33;41;49;42;35;33;32;35;32;27;23;45;41
 ; ;492 Ærø;4;4;2;3;4;4;3;3;3;3;2;2;0;..;3
 ; ;530 Billund;31;31;35;31;43;27;11;24;25;24;31;22;21;28;39
 ; ;561 Esbjerg;89;83;86;82;93;90;61;72;63;56;66;54;50;68;74
 ; ;563 Fanø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;607 Fredericia;48;67;38;52;47;43;43;34;40;43;44;35;28;42;38
 ; ;510 Haderslev;66;69;71;65;55;45;46;58;47;54;44;46;45;51;53
 ; ;621 Kolding;88;82;83;80;55;146;84;64;53;71;51;56;52;73;64
 ; ;540 Sønderborg;87;74;57;59;53;54;43;41;42;45;48;39;39;43;51
 ; ;550 Tønder;48;46;37;30;34;40;34;38;39;40;43;37;39;37;42
 ; ;573 Varde;26;25;25;23;24;35;23;22;24;28;26;19;20;24;30
 ; ;575 Vejen;25;27;29;31;28;29;26;22;20;29;26;26;19;27;27
 ; ;630 Vejle;81;81;82;60;80;85;81;62;60;61;62;66;58;90;103
 ; ;580 Aabenraa;34;37;38;31;33;33;26;30;29;47;39;34;29;28;44
 ; ;082 Region Midtjylland;790;718;774;711;724;774;748;723;658;758;682;652;606;774;836
 ; ;710 Favrskov;20;16;19;19;18;15;14;15;13;15;13;12;11;14;13
 ; ;766 Hedensted;18;18;18;14;14;30;22;19;17;21;21;18;11;25;28
 ; ;615 Horsens;102;69;64;67;66;45;43;48;46;47;45;50;72;68;56
 ; ;707 Norddjurs;23;24;23;23;35;42;43;41;27;31;31;31;22;27;32
 ; ;727 Odder;12;11;12;12;12;11;9;10;8;8;10;10;9;15;25
 ; ;730 Randers;82;81;87;83;74;69;80;86;83;86;77;66;59;82;84
 ; ;741 Samsø;18;6;12;9;10;19;13;3;2;2;2;2;2;3;3
 ; ;740 Silkeborg;39;38;41;22;13;21;22;16;18;21;32;28;23;27;34
 ; ;746 Skanderborg;23;21;24;19;16;22;22;18;20;21;19;16;14;23;18
 ; ;706 Syddjurs;19;19;18;18;17;20;16;17;13;15;13;17;12;15;15
 ; ;751 Aarhus;164;136;153;142;178;178;196;179;170;206;157;162;155;219;243
 ; ;657 Herning;65;78;93;82;69;89;74;91;74;87;86;62;63;79;99
 ; ;661 Holstebro;29;22;27;33;34;34;26;30;26;26;35;31;27;26;31
 ; ;756 Ikast-Brande;18;15;14;18;14;21;24;18;16;19;16;16;14;19;17
 ; ;665 Lemvig;22;18;12;11;16;17;16;14;18;14;15;20;11;12;11
 ; ;760 Ringkøbing-Skjern;23;26;36;30;27;31;29;27;24;33;31;29;26;31;36
 ; ;779 Skive;31;31;31;29;34;35;33;32;28;31;30;26;20;29;29
 ; ;671 Struer;16;14;16;13;12;12;12;9;8;17;10;9;9;8;7
 ; ;791 Viborg;64;75;75;65;67;64;55;52;46;58;40;48;45;54;56
 ; ;081 Region Nordjylland;426;487;429;401;381;406;445;395;431;489;456;474;347;485;385
 ; ;810 Brønderslev;28;33;27;24;25;25;21;20;24;23;17;16;17;17;16
 ; ;813 Frederikshavn;62;57;63;58;68;89;66;75;76;105;113;161;72;133;71
 ; ;860 Hjørring;40;60;41;35;38;35;38;38;32;32;33;30;26;30;33
 ; ;849 Jammerbugt;33;29;29;24;21;22;21;28;29;30;26;25;18;27;25
 ; ;825 Læsø;5;5;6;6;8;5;5;6;5;5;5;5;5;5;5
 ; ;846 Mariagerfjord;34;32;31;27;15;23;23;21;27;56;28;24;13;15;18
 ; ;773 Morsø;23;15;18;19;24;21;11;11;6;9;8;7;6;8;9
 ; ;840 Rebild;12;14;11;11;6;8;6;5;5;6;5;4;4;4;4
 ; ;787 Thisted;31;41;33;29;29;40;67;34;39;49;47;33;27;28;29
 ; ;820 Vesthimmerlands;12;61;11;12;9;13;11;14;15;21;25;19;30;43;19
 ; ;851 Aalborg;146;141;160;156;137;124;176;142;174;153;149;151;129;174;156
 ;FO Phosphorus, tonnes total P;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;401;459;502;458;418;428;359;348;297;372;292;306;281;337;364
 ; ;084 Region Hovedstaden;154;170;253;210;137;141;128;125;94;152;86;91;89;114;121
 ; ;101 Copenhagen;88;104;191;158;91;87;74;69;47;89;35;41;38;45;44
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1
 ; ;185 Tårnby;7;6;6;2;3;2;1;1;1;1;1;1;2;3;7
 ; ;165 Albertslund;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;151 Ballerup;5;6;5;4;3;2;3;4;3;2;2;2;2;4;4
 ; ;153 Brøndby;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;157 Gentofte;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;159 Gladsaxe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;161 Glostrup;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;163 Herlev;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0
 ; ;167 Hvidovre;15;15;18;16;11;13;13;14;16;24;18;14;16;25;18
 ; ;169 Høje-Taastrup;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ; ;183 Ishøj;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;173 Lyngby-Taarbæk;10;12;7;5;6;11;14;10;4;8;9;12;10;10;13
 ; ;175 Rødovre;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;187 Vallensbæk;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;201 Allerød;2;2;2;1;1;1;2;1;1;1;1;1;1;1;2
 ; ;240 Egedal;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2
 ; ;210 Fredensborg;2;3;1;2;2;1;1;1;1;1;2;1;1;1;1
 ; ;250 Frederikssund;3;2;2;3;3;3;2;5;2;2;1;1;1;2;2
 ; ;190 Furesø;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
 ; ;270 Gribskov;3;3;3;3;2;3;3;3;2;3;2;3;2;4;3
 ; ;260 Halsnæs;2;1;2;2;1;2;2;1;1;3;1;1;1;1;2
 ; ;217 Helsingør;5;5;6;4;4;3;4;4;5;3;3;4;4;6;11
 ; ;219 Hillerød;2;2;2;3;2;2;2;2;2;6;2;1;2;2;2
 ; ;223 Hørsholm;1;1;2;1;1;1;1;1;0;4;2;2;1;1;3
 ; ;230 Rudersdal;2;3;2;2;3;3;2;3;2;2;3;3;2;3;3
 ; ;400 Bornholm;3;3;2;2;2;2;2;2;2;2;2;3;2;2;2
 ; ;411 Christiansø;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0
 ; ;085 Region Sjælland;75;101;74;70;94;67;57;59;56;56;51;53;51;51;60
 ; ;253 Greve;4;4;3;3;3;3;3;3;3;3;3;3;2;3;4
 ; ;259 Køge;13;13;4;5;5;6;4;4;3;3;2;3;3;3;4
 ; ;350 Lejre;1;2;1;1;1;4;3;3;2;1;1;1;1;1;1
 ; ;265 Roskilde;4;8;6;10;5;4;3;3;5;8;5;4;5;3;4
 ; ;269 Solrød;1;2;1;0;1;1;1;1;1;2;1;1;1;1;3
 ; ;320 Faxe;2;3;2;2;2;3;2;1;1;2;2;2;1;2;2
 ; ;376 Guldborgsund;8;9;6;7;6;6;7;8;8;8;5;4;3;4;6
 ; ;316 Holbæk;3;3;3;4;3;3;3;5;5;4;4;3;4;5;8
 ; ;326 Kalundborg;8;9;7;8;7;7;7;7;5;6;5;7;9;9;6
 ; ;360 Lolland;8;11;9;6;10;7;4;6;6;6;5;4;5;4;5
 ; ;370 Næstved;6;9;10;8;9;6;6;6;5;5;5;7;5;4;3
 ; ;306 Odsherred;3;5;3;2;2;3;2;2;1;2;2;1;1;1;1
 ; ;329 Ringsted;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1
 ; ;330 Slagelse;4;12;10;6;5;5;4;4;4;4;4;5;3;4;5
 ; ;340 Sorø;1;2;1;1;2;2;2;1;1;1;1;1;1;1;1
 ; ;336 Stevns;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
 ; ;390 Vordingborg;6;7;5;4;31;5;4;3;3;2;4;4;5;4;6
 ; ;083 Region Syddanmark;91;108;95;95;97;123;80;81;66;73;70;71;61;75;97
 ; ;420 Assens;2;2;2;3;3;2;2;1;1;1;1;1;1;1;1
 ; ;430 Faaborg-Midtfyn;3;4;3;4;5;4;3;3;2;3;3;3;2;2;3
 ; ;440 Kerteminde;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
 ; ;482 Langeland;1;1;1;1;1;1;1;1;1;1;1;1;1;..;1
