Discharge of water by farm type; discharge; region and time;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
 ; ; ;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
115 Freshwater aquaculture;;;;;;;;;;;;;;;;;
 ;SP Wastewater, 1,000 m3;;;;;;;;;;;;;;;;
 ; ;791 Viborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;081 Region Nordjylland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;810 Brønderslev;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;813 Frederikshavn;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;860 Hjørring;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;849 Jammerbugt;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;825 Læsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;846 Mariagerfjord;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;773 Morsø;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;840 Rebild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;787 Thisted;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;820 Vesthimmerlands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;851 Aalborg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ;KV Nitrogen, tonnes total N;;;;;;;;;;;;;;;;
 ; ;000 All Denmark;..;838;643;634;688;675;745;650;630;603;557;512;445;424;499
 ; ;084 Region Hovedstaden;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;101 Copenhagen;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;147 Frederiksberg;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
 ; ;155 Dragør;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
