"Forbrug af vand (Fysiske vandregnskab) efter vandtype, branche og tid"

" "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
" ","V30000 30000 Fremst. af skibe og andre transportmidler",106,85,30,36,39,35,42,43,53,42,45,44,63,47,46
" ","V300000 300000 Fremst. af skibe og andre transportmidler",106,85,30,36,39,35,42,43,53,42,45,44,63,47,46
" ","VCM CM Møbel- og anden industri mv.",364,357,345,355,359,363,475,439,474,431,398,319,328,361,354
" ","V31320 31320 Møbel- og anden industri",195,174,181,170,190,195,269,257,283,242,206,175,186,177,171
" ","V310000 310000 Møbelindustri",109,112,91,101,107,98,132,114,162,89,85,68,77,74,69
" ","V320010 320010 Fremst. af medicinske instrumenter mv.",12,13,23,19,33,23,21,37,14,50,35,22,17,29,29
" ","V320020 320020 Legetøj og anden fremstillingsvirksomhed",74,49,68,50,50,74,116,106,107,102,85,86,93,74,73
" ","V33000 33000 Reparation og installation af maskiner og udstyr",170,184,164,185,169,167,206,182,192,190,192,143,142,184,183
" ","V330000 330000 Reparation og installation af maskiner og udstyr",170,184,164,185,169,167,206,182,192,190,192,143,142,184,183
" ","VD_E D_E Forsyningsvirksomhed",51776,51022,47195,45162,44406,42548,42141,39659,45512,41855,43401,42178,40599,39685,40731
" ","VD D Energiforsyning",7510,6910,5692,5904,6596,6650,6526,6017,7280,7659,7989,7697,7430,6415,7090
" ","V35000 35000 Energiforsyning",7510,6910,5692,5904,6596,6650,6526,6017,7280,7659,7989,7697,7430,6415,7090
" ","V350010 350010 Elforsyning",4563,3664,3253,2896,2623,2812,2760,2558,2986,2845,2963,3182,3091,3123,3224
" ","V350020 350020 Gasforsyning",1365,1988,1193,1249,1345,1390,1728,1340,1087,1160,1292,1256,1367,1504,1415
" ","V350030 350030 Varmeforsyning",1582,1259,1246,1759,2628,2447,2038,2119,3207,3655,3733,3258,2971,1788,2451
" ","VE E Vandforsyning og renovation",44266,44111,41503,39258,37811,35898,35615,33641,38232,34195,35412,34481,33170,33270,33641
" ","V36000 36000 Vandforsyning",38345,37716,34331,32631,31822,29878,29521,27730,32161,28345,29603,28792,27979,28295,28986
" ","V360000 360000 Vandforsyning",38345,37716,34331,32631,31822,29878,29521,27730,32161,28345,29603,28792,27979,28295,28986
" ","V37390 37390 Renovation, affaldsbehandling mv.",5921,6396,7172,6628,5989,6020,6094,5911,6071,5850,5810,5689,5191,4975,4655
" ","V370000 370000 Kloak- og rensningsanlæg",1004,1327,1145,1544,1544,1323,1319,1493,1621,1560,1633,1239,1280,1125,1153
" ","V383900 383900 Renovation, genbrug og forureningsbekæmpelse",4917,5068,6027,5084,4444,4697,4774,4418,4451,4290,4177,4450,3911,3851,3501
" ","VF F Bygge og anlæg",493,461,529,623,957,782,773,663,532,536,568,507,473,599,596
" ","V41430 41430 Bygge og anlæg",493,461,529,623,957,782,773,663,532,536,568,507,473,599,596
" ","V410009 410009 Nybyggeri",133,131,153,177,272,230,240,216,177,188,222,190,172,203,194
" ","V420000 420000 Anlægsvirksomhed",98,93,107,125,179,151,148,125,106,99,95,88,87,115,120
" ","V430003 430003 Professionel reparation og vedligeholdelse af bygninger",262,237,269,321,506,402,384,322,249,249,250,230,214,281,282
" ","V430004 430004 Gør-det-selv reparation og vedligeholdelse af boliger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
" ","VG_I G_I Handel og transport mv.",16166,14362,14470,12532,12595,14463,15384,12918,13712,13140,13652,11035,12146,13008,12877
